Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,,0,100,100,100,,60,60,60,30,30,0,1,1,,,,,142,,3,,1
0,1,2019,1,62.16,100,30,92.5,55.5,34.5,34.5,25.5,9,0,4,4,46,140,2722.995967,74,70,13,2,2,1
0,0,,1,100,100,100,,24,24,24,12,12,0,1,1,,,,,63,,3,,0
0,1,2021,0,100,100,100,100,60,60,62.33,30,30,0,2,2,51,303,4642.293567,113,137,36,3,2,1
0,1,2019,1,0,,0,0,9,0,0,0,0,0,4,4,,,,,,,0,,0
0,1,2020,0,100,100,100,85,60,60,60,12,6,0,2,3,7,31,361.6586667,9,125,3,3,1,1
0,1,,0,100,,100,53.84615385,25,25,25,0,25,0,1,1,,,,,,,3,,0
0,1,2019,1,100,100,100,100,46.5,46.5,60,30,16.5,0,4,4,52,432,5745.128067,178,111,38,3,2,1
0,1,2020,0,92.86,84.21,100,68,63,58.5,58.5,24,34.5,0,2,3,32,273,2691.791917,63,129,30,3,2,2
0,1,2019,1,71.43,57.89,100,78.04878049,42,30,30,16.5,13.5,0,3,4,26,485,1926.64675,65,73,19,2,2,1
0,1,2021,0,100,100,100,100,60,60,60,30,30,0,2,2,43,705,3262.52415,70,2,24,3,2,1
0,1,,0,100,100,100,,60,60,60,31.5,28.5,0,1,1,,,,,141,,3,,1
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,41,237,2683.134717,61,127,34,3,2,1
0,1,2020,1,60,55,65,81.25,60,36,36,16.5,19.5,0,2,3,45,182,3017.4675,69,38,35,1,2,1
0,1,2021,1,100,100,100,100,60,60,60,25.5,25.5,0,2,2,,,,,143,,3,,1
0,1,2020,1,90.63,100,78.57,90,48,43.5,43.5,27,16.5,0,2,3,40,280,3195.49975,70,80,12,3,2,1
0,1,2020,1,84.09,53.33,100,100,66,55.5,55.5,12,39,0,3,4,14,80,880.6945333,21,,5,3,1,2
0,1,2022,1,81.58,58.82,100,,57,46.5,46.5,15,31.5,0,1,2,,,,,112,,3,,1
0,1,2018,0,100,100,100,62.5,18,18,18,6,12,0,4,4,34,259,3398.803983,63,25,18,3,2,0
0,1,,1,100,100,100,,60,60,72,30,30,0,1,2,,,,,104,,3,,1
0,1,2022,1,100,100,100,,60,60,61,30,30,0,1,1,80,566,7959.4114,161,139,50,3,3,1
0,1,2019,0,85,100,64.71,100,60,51,61,34.5,16.5,0,2,4,54,184,3181.805617,77,85,38,3,2,1
0,1,2022,1,100,100,100,,60,60,60,18,18,0,1,1,58,763,4685.755517,108,93,47,3,2,1
