Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,,0,100,,100,76.92307692,12,12,12,0,0,0,1,1,,,,,2,,3,,0
0,1,,1,100,100,100,,60,60,60,30,30,0,1,1,,,,,71,,3,,1
0,1,2021,0,85.71,83.33,87.5,75,63,54,54,22.5,22.5,0,1,2,44,550,3718.185667,90,96,31,3,2,2
0,1,2018,1,80,73.68,85.71,73.68421053,60,48,54,21,27,0,2,3,60,326,5254.89245,119,70,38,2,2,1
1,1,2021,0,82.5,65,100,100,60,49.5,49.5,19.5,30,0,2,2,29,140,2164.738683,48,118,24,3,2,1
0,1,2022,1,17.5,33.33,10.71,,60,10.5,10.5,6,4.5,0,1,1,,,,,56,,0,,1
0,1,2018,1,100,100,100,90,66,66,66,36,30,0,3,4,77,697,6878.875817,148,40,55,3,3,2
0,1,,0,0,0,0,35.8974359,76,0,0,0,0,0,1,1,,,,,,,0,,2
0,1,2019,0,100,100,100,100,60,60,60,39,21,0,3,4,,,,,4,,3,,1
0,1,2019,0,100,100,100,100,60,60,60,30,21,0,4,4,14,49,567.4402667,12,106,10,3,1,1
0,0,2016,1,86.96,72.73,100,80,34.5,30,35,12,18,0,3,4,32,842,3441.555667,84,127,9,3,2,1
1,1,2021,0,38.1,,38.1,30,42,16,16,0,7,0,1,1,78,432,5057.0322,138,,64,0,3,1
0,1,2022,0,100,100,100,,60,60,60,18,24,0,1,1,44,305,3592.077283,80,55,27,3,2,1
0,1,2022,1,40,100,14.29,,60,24,24,18,6,0,1,1,56,454,3511.907283,83,107,14,0,2,1
0,1,2019,1,100,100,100,100,28.5,28.5,28.5,15,13.5,0,3,4,6,27,352.8748833,7,12,6,3,1,0
0,1,2022,1,100,100,100,,60,60,60,9,6,0,1,1,43,289,2628.457417,57,,30,3,2,1
0,1,2022,0,32.5,33.33,32.14,,60,19.5,19.5,6,4.5,0,1,1,19,86,1120.469967,29,77,12,0,1,1
0,1,2019,1,92.5,100,85,100,60,55.5,60.5,30,25.5,0,4,4,43,318,4684.31485,110,63,38,3,2,1
0,1,2020,1,89.66,78.57,100,77.77777778,43.5,39,39,16.5,22.5,0,2,3,41,348,3889.80325,74,121,34,3,2,1
0,1,2022,0,100,100,100,,60,60,60,13.5,19.5,0,1,1,107,1411,7354.394733,213,124,65,3,3,1
0,1,,0,50,100,0,,60,30,30,30,0,0,1,1,,,,,60,,1,,1
0,1,2022,0,100,100,100,,60,60,60,30,30,0,1,1,28,175,1919.2811,55,106,17,3,2,1
0,1,,0,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2018,1,74.36,65,84.21,54.76190476,58.5,43.5,43.5,19.5,24,0,2,4,25,102,1929.165283,36,99,16,2,2,1
0,1,2019,1,90.32,100,78.57,100,46.5,42,60,25.5,16.5,0,4,4,,,,,96,,3,,1
0,1,,1,100,,100,100,12,12,12,0,0,0,2,2,,,,,3,,3,,0
0,1,2019,1,100,100,100,100,60,60,60,33,27,0,4,4,65,717,4317.73785,105,6,42,3,3,1
0,1,2022,0,80,100,60,,60,48,48,30,18,0,1,1,44,575,3431.513867,78,16,26,2,2,1
0,1,,1,13.04,100,0,0,34.5,4.5,4.5,4.5,0,0,1,1,,,,,9,,0,,1
0,1,2020,1,82.05,65,100,73.91304348,58.5,48,48,19.5,28.5,0,2,3,30,156,2763.644333,51,180,19,3,2,1
0,1,2019,1,100,100,100,100,60,60,60,9,9,0,4,4,57,205,3181.6747,67,103,43,3,2,1
0,1,2018,1,100,,100,83.67346939,12,12,12,0,12,0,4,4,,,,,,,3,,0
0,1,2019,1,100,100,100,100,42,42,60,30,12,0,4,4,96,679,6576.721533,189,47,32,3,3,1
0,1,2017,1,67.39,84.21,55.56,75.86206897,69,46.5,46.5,24,22.5,0,3,4,21,95,1367.9709,33,2,9,2,2,2
0,1,2022,0,100,100,100,,60,60,60,21,21,0,1,1,105,1725,8483.404483,230,130,58,3,3,1
0,1,,1,,,,41.17647059,30,0,0,0,0,0,1,1,,,,,13,,,,0
0,1,2020,0,90,50,100,100,60,54,54,6,6,0,3,3,67,420,2988.792983,176,156,37,3,3,1
0,1,2020,0,80.65,100,75,48.7804878,46.5,37.5,37.5,10.5,18,0,1,2,37,131,1814.836583,38,74,25,3,2,1
0,1,2019,1,78.57,100,0,100,42,33,51,33,0,0,4,4,20,80,1235.521133,31,45,10,2,1,1
0,1,,1,100,100,100,100,30,30,30,18,0,0,2,2,,,,,2,,3,,0
0,1,,0,,,,,54,37.5,37.5,25.5,12,0,2,4,22,276,1804.123833,29,83,15,,2,1
0,1,2020,0,90,80,100,70,60,54,54,24,30,0,1,3,57,562,4538.780767,102,183,28,3,2,1
0,1,2019,1,100,100,100,100,60,60,60,33,27,0,4,4,53,213,3044.716417,73,68,35,3,2,1
0,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,33,230,3327.467617,78,124,23,3,2,1
1,1,2021,1,100,100,100,100,54,54,54,24,30,0,2,2,34,226,2255.87025,61,154,28,3,2,1
0,1,2019,1,81.25,100,50,46.51162791,48,39,39,30,9,0,3,4,,,,,16,,3,,1
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,86,553,7110.528717,166,107,42,3,3,1
0,1,2022,0,100,100,100,,60,60,61,30,30,0,1,1,43,168,2503.730833,57,153,27,3,2,1
0,1,2021,0,82.5,80.95,84.21,100,60,49.5,49.5,25.5,24,0,2,2,32,237,2859.886483,70,155,26,3,2,1
0,1,2020,0,100,100,100,100,60,60,60,25.5,25.5,0,3,3,32,191,1784.067833,41,163,20,3,2,1
0,1,2021,0,65,60,70,100,60,39,39,18,21,0,2,2,35,306,2375.408017,66,48,22,2,2,1
0,1,,0,0,0,0,100,30,0,0,0,0,0,1,1,,,,,,,0,,0
0,1,2015,0,100,,100,0,9,9,9,0,0,0,4,4,,,,,,,3,,0
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,52,1099,7465.532483,161,,37,3,2,1
0,1,,0,100,100,100,,60,60,60,27,33,0,1,1,,,,,102,,3,,1
0,1,2017,1,100,,100,36.36363636,9,9,9,0,0,0,4,4,,,,,,,3,,0
0,1,2022,1,100,100,100,,60,60,60,12,12,0,1,1,28,108,1707.005833,38,,11,3,2,1
0,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,74,1124,9506.674867,199,57,53,3,3,1
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,37,233,2280.098283,64,79,26,3,2,1
0,1,2022,1,85,100,78.57,,60,51,51,18,15,0,1,1,18,82,983.70955,22,115,10,3,1,1
0,1,2019,0,50,45,52.78,67.5,84,42,42,13.5,19.5,0,3,4,17,37,625.9643667,17,60,2,1,1,2
0,1,2019,0,37.84,82.35,0,100,55.5,21,44.02,21,0,0,4,4,1,1,45.16016667,1,53,35,0,1,1
0,1,2022,1,100,100,100,,60,60,60,9,12,0,1,1,12,36,697.4712,15,117,9,3,1,1
0,1,2016,1,33.33,,33.33,66.66666667,18,6,6,0,6,0,3,3,29,166,2018.212167,40,3,22,0,2,0
0,1,2017,1,100,,100,85.71428571,9,9,9,0,0,0,4,4,1,5,60.46093333,1,2,,3,1,0
1,1,2021,1,68.75,85,57.14,60,72,49.5,49.5,25.5,24,0,1,2,25,150,2184.284867,37,112,24,2,2,2
0,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,39,198,2576.827217,73,129,30,3,2,1
0,1,2018,1,100,100,100,100,63,63,63,33,21,0,3,4,39,187,2427.185483,57,76,24,3,2,2
0,1,2019,1,100,100,100,56.41025641,55.5,55.5,55.5,31.5,24,0,2,4,45,274,3882.17735,97,94,25,3,2,1
0,1,2018,1,100,100,100,79.06976744,45,45,45,24,21,0,4,4,36,213,2586.171967,55,9,27,3,2,1
0,1,2014,0,100,,100,0,12,12,12,0,12,0,4,4,,,,,,,3,,0
0,1,2016,1,65.63,,65.63,41.02564103,48,31.5,31.5,0,13.5,0,3,5,54,287,3762.49175,76,103,49,2,2,1
0,1,2022,0,57.45,65.22,50,,70.5,40.5,40.5,22.5,18,0,1,1,25,284,1775.216233,45,122,20,1,2,2
0,1,2019,0,100,100,100,93.61702128,46.5,46.5,47.5,30,16.5,0,4,4,33,208,2113.508933,47,85,19,3,2,1
0,1,2018,0,53.49,100,13.04,92.5,64.5,34.5,34.5,30,4.5,0,3,4,30,238,3276.605517,86,83,13,1,2,2
0,1,2019,1,100,100,100,100,60,60,60,33,27,0,4,4,46,205,2747.416917,58,173,22,3,2,1
0,1,2018,0,100,100,100,100,33,33,33,12,12,0,3,4,20,132,1132.9999,26,8,13,3,1,1
0,1,2022,1,100,100,100,,60,60,60,12,30,0,1,1,43,293,2933.952333,63,111,29,3,2,1
1,1,,1,30,60,0,,60,18,18,18,0,0,1,1,,,,,35,,0,,1
0,1,2022,0,100,100,100,,60,60,60,9,6,0,1,1,21,167,1098.720733,25,,8,3,2,1
0,1,2021,1,100,100,100,100,60,60,61,21,21,0,2,2,37,324,2521.299967,62,122,32,3,2,1
0,1,2019,1,80,100,70.59,100,75,60,60,24,27,0,3,4,1,1,45.33635,1,1,22,2,1,2
0,1,2019,1,100,100,100,100,46.5,46.5,60,30,16.5,0,4,4,50,368,3357.10705,85,74,43,3,2,1
0,1,2020,1,82.93,82.35,83.33,100,61.5,51,51,21,21,0,2,3,57,268,5158.600183,157,157,29,3,2,2
0,1,2018,1,84.38,100,54.55,86.66666667,48,40.5,54,31.5,9,0,3,4,26,146,1704.912133,41,18,9,3,2,1
0,1,,0,76.47,100,42.86,100,51,39,48,30,9,0,2,2,,,,,94,,2,,1
1,1,2022,1,33.33,100,0,,36,12,12,12,0,0,1,1,1,7,46.032,1,39,39,0,1,1
0,1,2018,1,100,100,100,100,60,60,60,30,30,0,4,4,19,208,1881.438083,57,34,17,3,1,1
0,1,2020,1,100,100,100,100,60,60,60,28.5,31.5,0,3,3,,,,,63,,3,,1
0,1,2022,0,100,100,100,,60,60,60,12,12,0,1,1,54,1242,3082.3362,81,71,30,3,2,1
0,1,2019,0,100,100,100,100,60,60,60,30,30,0,4,4,44,391,3291.256933,77,101,31,3,2,1
0,1,2019,1,100,100,100,72.5,54,54,54,25.5,28.5,0,3,4,41,244,3627.441883,84,58,27,3,2,1
0,1,2018,1,90,100,87.1,93.02325581,60,54,54,13.5,9,0,4,5,32,328,3038.898433,61,132,29,3,2,1
0,1,,1,50,100,23.08,,60,30,30,21,0,0,1,1,,,,,124,,1,,1
1,1,2022,1,10,20,0,,60,6,6,6,0,0,1,1,22,147,1961.0542,37,29,13,0,2,1
0,1,2022,0,100,100,100,,60,60,60,28.5,31.5,0,1,1,54,326,5144.211633,117,186,41,3,2,1
0,1,2019,1,75.56,75.86,75,80.48780488,67.5,51,51,33,18,0,2,3,52,319,3568.240333,73,64,27,2,2,2
0,1,2018,1,100,100,100,54.34782609,31.5,31.5,31.5,15,16.5,0,3,4,32,277,3344.23395,50,,23,3,2,1
0,1,,1,0,0,,,6,0,0,0,0,0,2,2,,,,,2,,0,,0
0,1,2022,1,100,100,100,,60,60,60,22.5,19.5,0,1,1,66,347,5139.960717,114,176,27,3,3,1
0,1,2020,0,92.5,100,86.96,81.39534884,60,55.5,61.5,25.5,30,0,2,3,39,198,2922.311767,65,108,25,3,2,1
1,1,2022,0,0,0,0,,60,0,0,0,0,0,1,1,2,8,98.08581667,2,5,1,0,1,1
0,1,2021,1,63.64,50,80,90,66,42,42,18,24,0,1,2,27,130,1913.266617,44,71,19,2,2,2
0,1,,1,100,,100,,60,60,60,0,0,0,1,1,,,,,78,,3,,1
0,1,2022,1,20,0,40,,60,12,12,0,12,0,1,1,9,72,619.2880667,13,,5,0,1,1
0,1,2019,0,65,0,81.25,83.33333333,60,39,39,0,6,0,2,3,25,157,1700.022633,38,32,22,2,2,1
0,1,2021,0,100,100,100,100,60,60,60,30,30,0,2,2,48,369,4158.280867,96,167,37,3,2,1
0,1,2020,1,80,100,66.67,100,75,60,60,30,30,0,3,3,42,164,2482.727117,58,64,33,2,2,2
0,1,,1,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2018,1,46.67,100,0,100,22.5,10.5,10.5,10.5,0,0,4,4,5,9,248.7570167,5,34,18,1,1,0
0,1,2020,0,50,84.21,24,77.5,66,33,33,24,9,0,2,3,28,280,2517.1648,60,136,25,1,2,2
0,1,2017,0,100,,100,0,12,12,30,0,12,0,4,4,22,66,1101.103883,26,,14,3,2,0
0,1,2020,1,100,100,100,100,60,60,60,25.5,25.5,0,3,3,12,67,635.7824833,13,149,11,3,1,1
0,1,2021,0,100,100,100,100,60,60,60,30,30,0,2,2,40,533,3329.523,79,151,26,3,2,1
0,1,2018,1,100,100,100,76.47058824,54,54,67.5,42,12,0,3,4,28,151,2004.197217,53,76,22,3,2,1
0,1,,0,100,100,100,,60,60,60,27,33,0,1,1,,,,,124,,3,,1
0,1,2019,0,100,100,100,100,60,60,60,30,30,0,4,4,14,58,788.9910167,23,104,11,3,1,1
0,1,2018,1,62.5,100,0,75,24,15,15,15,0,0,4,4,36,169,2021.511333,45,,30,2,2,0
0,1,2019,1,100,100,100,100,60,60,60,21,30,0,3,4,23,79,1262.360467,27,126,17,3,2,1
0,1,2020,0,100,100,100,100,60,60,60,33,27,0,3,3,48,373,4432.696567,102,73,33,3,2,1
0,1,,1,100,,100,100,18,18,18,0,18,0,1,1,,,,,52,,3,,0
0,1,2021,1,100,100,100,100,60,60,60,6,9,0,2,2,9,35,407.6458167,11,,5,3,1,1
0,1,2020,1,100,100,100,100,60,60,60,30,30,0,3,3,57,342,4353.628383,117,110,36,3,2,1
0,1,2022,1,27.03,0,32.26,,55.5,15,15,0,0,0,2,4,12,99,625.1790333,14,56,8,0,1,1
0,1,2021,0,100,100,100,100,60,60,60,31.5,28.5,0,2,2,50,240,2684.709983,59,144,46,3,2,1
0,1,2021,1,80,80,80,100,60,48,48,24,24,0,2,2,26,107,1678.258017,41,140,12,2,2,1
0,1,2020,1,100,100,100,100,60,60,62,25.5,25.5,0,3,3,25,93,1381.8237,33,55,22,3,2,1
0,1,2019,0,100,100,100,100,60,60,60,30,30,0,4,4,16,69,1362.619767,30,97,10,3,1,1
0,1,2022,1,100,100,100,,60,60,60,22.5,19.5,0,1,1,,,,,,,3,,1
0,1,2019,0,38.89,53.85,30.43,50,54,21,21,10.5,10.5,0,2,2,23,126,1928.01,36,52,16,0,2,1
0,1,2021,0,100,100,100,100,60,60,60,30,30,0,2,2,61,1024,5284.148667,126,133,44,3,3,1
0,1,,1,,,,82.60869565,63,0,0,0,0,0,1,1,5,97,401.61245,6,12,5,,1,2
0,1,2020,1,100,100,100,100,60,60,60,30,30,0,3,3,39,209,2200.777317,58,136,27,3,2,1
0,1,2019,1,100,100,100,90,60,60,60,27,33,0,3,4,35,543,3046.973933,71,141,22,3,2,1
0,1,2019,1,100,100,100,100,57,57,57,25.5,31.5,0,3,4,40,217,2608.101883,59,101,33,3,2,1
0,1,2019,1,100,100,100,100,60,60,60,30,30,0,3,4,23,265,1849.923933,39,88,16,3,2,1
0,1,2019,1,100,100,100,100,46.5,46.5,46.5,25.5,21,0,4,4,30,291,2637.217583,58,27,17,3,2,1
0,1,2016,1,73.68,50,78.13,72.72727273,57,42,42,4.5,4.5,0,3,5,60,250,3870.590033,77,146,53,2,2,1
1,1,,1,66.67,100,28.57,100,45,30,45,24,6,0,2,2,,,,,,,2,,1
0,1,2021,0,70.73,100,67.57,72.5,61.5,43.5,43.5,6,19.5,0,1,2,25,199,1579.909267,47,3,19,2,2,2
0,1,,0,81.63,100,66.67,81.63265306,73.5,60,60,33,13.5,0,2,2,,,,,107,,3,,2
0,1,2019,1,80,100,60,100,60,48,48,30,18,0,4,4,,,,,103,,2,,1
0,1,2021,1,,,,0,0,0,0,0,0,0,2,3,,,,,,,,,0
0,1,,0,100,,100,71.42857143,12,12,12,0,0,0,2,2,,,,,13,,3,,0
0,1,2017,1,100,,100,81.39534884,12,12,12,0,12,0,4,4,18,40,943.0240333,22,,9,3,1,0
0,1,2020,1,63.16,33.33,76.92,100,57,36,36,6,12,0,3,4,36,185,2130.1577,51,163,20,2,2,1
0,1,2020,0,76.92,100,63.64,100,78,60,60,28.5,31.5,0,3,3,68,1470,5505.196733,130,118,56,2,3,2
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,49,250,3694.971317,74,132,40,3,2,1
0,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,22,106,1363.96085,30,127,14,3,2,1
0,1,2021,1,100,100,100,100,60,60,60,18,24,0,2,2,64,519,5846.5703,121,126,60,3,3,1
0,1,2018,1,100,100,100,84.61538462,60,60,60,4.5,4.5,0,3,4,18,51,827.1303333,20,93,15,3,1,1
0,1,2021,1,100,100,100,70,73.5,73.5,73.5,24,37.5,0,1,2,59,479,3514.246883,82,139,41,3,2,2
0,1,2018,1,77.14,100,61.9,70.27027027,52.5,40.5,40.5,21,19.5,0,3,4,34,149,2927.749217,58,123,19,2,2,1
0,1,2018,1,0,,0,80,12,0,0,0,0,0,4,4,,,,,,,0,,0
0,1,2020,0,66.67,73.81,50,100,90,60,60,46.5,13.5,0,3,4,1,5,45.78896667,1,,,2,1,2
0,1,,1,100,,100,73.33333333,12,12,12,0,12,0,1,1,,,,,4,,3,,0
0,1,2020,1,65,100,51.72,55,60,39,39,16.5,13.5,0,2,3,,,,,113,,2,,1
0,1,2020,0,100,100,100,100,60,60,61,30,30,0,3,3,50,677,3716.9208,87,133,34,3,2,1
0,1,2020,1,100,100,100,100,61.5,61.5,61.5,28.5,33,0,3,3,38,121,2358.164467,56,130,33,3,2,2
0,1,2019,1,100,100,100,52.77777778,51,51,51,21,30,0,2,3,15,167,1221.42075,27,92,13,3,1,1
0,1,2021,0,100,100,100,100,60,60,60,6,9,0,2,2,30,211,1683.256617,33,,27,3,2,1
0,1,,0,60.34,100,43.9,100,87,52.5,52.5,25.5,27,0,2,2,,,,,,,2,,2
0,1,2022,1,100,100,100,,60,60,60,9,12,0,1,1,98,486,6558.680617,168,74,79,3,3,1
0,1,2019,0,100,100,100,100,60,60,60,37.5,18,0,3,4,24,109,1724.30825,42,113,9,3,2,1
0,1,2022,0,100,100,100,,60,60,60,9,6,0,1,1,2,7,91.23613333,2,,18,3,1,1
0,1,2021,0,100,100,100,100,55.5,55.5,55.5,25.5,21,0,3,3,20,80,1005.354217,24,101,9,3,1,1
0,1,2019,0,71.43,78.95,65.22,83.33333333,63,45,45,22.5,13.5,0,3,4,1,5,45.16013333,1,42,2,2,1,2
0,1,2021,0,100,100,100,100,60,60,60,16.5,10.5,0,2,2,52,752,5053.376967,113,131,29,3,2,1
0,1,,1,100,100,100,100,30,30,30,15,5,0,1,1,,,,,,,3,,0
0,1,2022,0,100,100,100,,60,60,60,18,18,0,1,1,120,1488,8817.584233,214,,31,3,3,1
0,1,2020,0,100,100,100,100,60,60,60,24,36,0,3,3,50,449,3242.326583,69,169,34,3,2,1
0,1,2022,1,80,80,80,,60,48,48,24,24,0,1,1,20,225,1536.322217,31,,12,2,1,1
0,1,2018,0,72.09,100,47.83,92.5,64.5,46.5,64.5,30,16.5,0,3,4,32,322,3446.986283,50,22,27,2,2,2
0,1,2020,0,100,100,100,100,60,60,64.5,28.5,31.5,0,3,3,68,351,5900.927283,136,135,52,3,3,1
0,1,2018,1,100,,100,85,9,9,9,0,0,0,4,4,,,,,24,,3,,0
0,1,2022,0,45,66.67,35.71,,60,27,27,12,6,0,1,1,57,266,4172.05535,104,110,24,1,2,1
0,1,,1,100,,100,100,12,12,12,0,0,0,2,2,,,,,2,,3,,0
0,1,2020,1,100,100,100,80,72,72,72,42,30,0,2,3,27,97,1387.614567,32,94,7,3,2,2
0,1,2018,1,100,100,100,100,25.5,25.5,25.5,18,7.5,0,4,4,71,471,5881.643067,130,37,29,3,3,0
0,1,2022,1,65,100,58.82,,60,39,39,9,12,0,1,1,,,,,110,,2,,1
0,1,2021,0,100,100,100,100,60,60,60,31.5,28.5,0,2,2,53,518,5572.442583,105,54,39,3,2,1
0,1,,0,35.48,100,0,22.5,46.5,16.5,16.5,16.5,0,0,1,1,,,,,31,,0,,1
0,1,2022,1,0,,0,,10.5,0,0,0,0,0,5,5,13,61,91.23503333,16,,1,0,1,0
0,1,2012,0,26.83,0,57.89,0,61.5,16.5,16.5,0,16.5,0,2,3,24,95,1245.71795,33,34,16,0,2,2
0,1,,0,50,100,0,,60,30,30,30,0,0,1,1,,,,,67,,1,,1
0,1,,0,100,100,100,93.02325581,60,60,60,33,13.5,0,2,2,,,,,,,3,,1
0,1,2019,0,100,100,100,100,60,60,60,30,30,0,4,4,59,281,2593.849383,116,91,13,3,2,1
0,1,2019,0,79.07,100,55,92.68292683,64.5,51,66,34.5,16.5,0,4,4,62,1349,4021.205917,99,100,32,2,3,2
0,1,,1,100,100,100,,60,60,60,28.5,31.5,0,1,1,,,,,,,3,,1
0,1,2019,1,70.83,60,78.57,100,72,51,51,18,33,0,3,4,8,22,374.0941667,10,51,1,2,1,2
0,1,2020,0,100,100,100,90.47619048,69,69,69,30,39,0,3,4,60,412,4804.25175,118,94,40,3,2,2
0,1,,1,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2019,1,72.09,100,40,100,64.5,46.5,64.5,34.5,12,0,4,4,37,634,2260.916867,54,1,22,2,2,2
0,1,2019,0,100,100,100,100,64.5,64.5,64.5,9,13.5,0,4,5,11,30,671.3842167,13,148,5,3,1,2
0,1,2022,0,100,100,100,,60,60,60,30,30,0,1,1,6,24,254.2649333,8,71,3,3,1,1
0,1,,1,100,100,100,,60,60,60,32.5,27.5,0,1,1,,,,,,,3,,1
0,1,2020,1,92.86,86.96,100,80.95238095,63,58.5,58.5,30,28.5,0,2,3,31,244,2447.914683,61,72,24,3,2,2
0,1,2020,1,100,100,100,100,60,60,60,30,30,0,3,3,24,115,1478.681067,37,151,20,3,2,1
0,1,2021,0,100,100,100,26.66666667,65,65,65,19.5,15.5,0,1,2,,,,,96,,3,,2
0,1,2019,1,100,100,100,100,42,42,54,30,12,0,4,4,51,296,2859.75765,77,82,36,3,2,1
0,1,2019,0,100,100,100,100,57,57,61,24,33,0,3,4,73,449,5700.77365,166,125,29,3,3,1
0,1,2020,0,100,100,100,100,60,60,60,30,30,0,3,3,43,959,2515.60365,63,173,31,3,2,1
0,1,2022,0,72.73,66.67,75,,66,48,48,12,18,0,1,1,124,791,10271.80167,231,82,61,2,3,2
0,1,2020,0,15.91,29.17,0,100,66,10.5,10.5,10.5,0,0,2,3,9,153,444.8724333,21,87,7,0,1,2
0,1,2022,0,75,100,64.29,,60,45,45,18,18,0,1,1,34,177,3210.2013,55,119,22,2,2,1
0,1,2020,1,100,100,100,100,60,60,60,30,30,0,3,3,38,153,1896.921517,50,,30,3,2,1
0,1,,0,100,100,100,100,54,54,54,30,6,0,2,2,,,,,120,,3,,1
0,1,2021,0,51.22,33.33,76.47,47.5,61.5,31.5,31.5,12,19.5,0,1,2,69,470,5541.7316,118,20,64,1,3,2
0,1,2018,1,0,0,0,13.33333333,43.5,0,0,0,0,0,1,2,1,7,44.93901667,1,,1,0,1,1
0,1,2021,0,70,50,83.33,50,60,42,42,12,30,0,1,2,11,57,571.6598,16,117,9,2,1,1
0,1,2018,1,100,100,100,100,27,27,27,18,0,0,4,4,13,53,780.2391167,17,6,11,3,1,0
0,1,,1,100,,100,60,12,12,12,0,0,0,2,2,,,,,,,3,,0
0,1,2014,1,0,,0,61.53846154,19.5,0,0,0,0,0,2,4,1,1,45.32306667,1,,,0,1,0
1,1,,1,0,,0,80,12,0,0,0,0,0,1,1,,,,,17,,0,,0
0,1,,0,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2022,1,50,58.33,46.43,,60,30,30,10.5,10.5,0,1,1,28,158,1418.772683,43,73,24,1,2,1
0,1,2020,1,100,100,100,100,60,60,60,28.5,31.5,0,3,3,42,333,2453.3877,60,72,36,3,2,1
0,1,2021,1,100,100,100,100,60,60,60,6,9,0,2,2,14,35,813.6713,19,116,2,3,1,1
0,1,2021,1,63.04,69.57,56.52,85,69,43.5,43.5,24,19.5,0,1,3,49,445,3258.7888,70,154,41,2,2,2
0,1,2022,1,100,100,100,,60,60,60,28.5,31.5,0,1,1,30,336,2228.152667,55,116,24,3,2,1
0,1,,1,0,,0,100,12,0,0,0,0,0,1,2,,,,,,,0,,0
0,1,,0,76.47,100,42.86,100,51,39,39,30,9,0,2,2,,,,,92,,2,,1
0,1,2017,0,0,,0,63.63636364,12,0,0,0,0,0,4,4,,,,,18,,0,,0
0,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,95,513,9365.80015,195,146,74,3,3,1
0,1,2019,0,76.47,100,52.94,100,51,39,45,25.5,13.5,0,4,4,39,203,2737.500733,71,98,24,2,2,1
0,1,2020,1,93.18,88,100,82.5,66,61.5,61.5,33,28.5,0,2,3,14,101,918.7042167,17,121,10,3,1,2
0,1,2018,1,0,0,0,52.63157895,27,0,0,0,0,0,3,3,7,43,347.5532667,10,13,6,0,1,0
0,1,2022,1,100,100,100,,60,60,61,30,30,0,1,1,56,283,4240.249367,110,117,31,3,2,1
0,1,2018,1,37.04,100,0,41.07142857,40.5,15,15,15,0,0,4,4,22,375,1901.630733,44,27,17,0,2,1
0,1,2021,0,100,100,100,100,60,60,60,6,9,0,2,2,19,198,1671.938217,37,2,12,3,1,1
0,1,,0,100,100,100,,60,60,66,30,30,0,1,1,,,,,110,,3,,1
0,1,2019,1,74.42,100,52.17,100,64.5,48,48,30,18,0,4,4,19,103,1142.110433,27,75,14,2,1,2
0,1,2019,1,71.43,85.71,57.14,65.85365854,63,45,45,27,18,0,2,4,26,190,2587.1359,64,86,25,2,2,2
0,1,2019,1,80,100,60,100,60,48,48,30,18,0,4,4,,,,,63,,2,,1
0,1,,0,0,,0,55,13.5,0,0,0,0,0,2,2,,,,,,,0,,0
0,1,,1,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2020,1,85.37,100,77.78,83.33333333,61.5,52.5,52.5,21,13.5,0,2,3,96,1261,6403.824117,267,116,57,3,3,2
0,1,2019,0,91.67,100,82.35,100,54,49.5,54,28.5,21,0,4,4,33,131,2110.327167,49,64,20,3,2,1
1,1,2022,0,10,33.33,0,,60,6,6,6,0,0,1,1,39,268,2376.5799,62,30,30,0,2,1
1,1,2010,1,81.82,100,63.64,100,66,54,54,33,21,0,3,3,21,73,1125.283583,29,65,11,3,2,2
0,1,2020,0,100,100,100,100,60,60,61.5,28.5,31.5,0,3,3,42,218,4084.857467,78,150,36,3,2,1
0,1,2019,1,100,100,100,100,60,60,60,13.5,13.5,0,4,5,,,,,,,3,,1
0,1,2020,0,69.77,73.68,66.67,92.5,64.5,45,45,21,24,0,2,3,43,898,3429.41995,69,143,38,2,2,2
0,1,2021,1,81.82,79.17,85,80,66,54,54,28.5,25.5,0,1,2,25,260,1615.910583,37,146,18,3,2,2
0,1,2020,0,100,100,100,92.5,60,60,60,28.5,31.5,0,2,3,21,127,1253.188967,30,124,10,3,2,1
1,1,,0,0,,0,100,12,0,0,0,0,0,2,2,,,,,,,0,,0
0,1,,1,80,60,100,,60,48,60,18,30,0,1,2,,,,,98,,2,,1
